Question,Answer
What is FYP?,"FYP stands for Final Year Project. It is a compulsory project for all UTAR FICT degree students, completed under the supervision of an academic staff or external supervisor."
What are the three parts of FYP?,"The FYP is divided into three parts: 1) Introduction to Inventive Problem Solving and Proposal Writing (IIPSPW/UCCD2502), 2) Project I, and 3) Project II."
When should I start FYP?,"Students should start exploring areas of interest as early as Year 2 Semester 1. Registration for IIPSPW begins in Year 2 Semester 2 or 3."
How do I find an FYP supervisor?,"Attend the IIPSPW class where lecturers present their topics. Approach lecturers whose topics interest you. You can also suggest your own project idea and find a willing supervisor."
Can I have an external supervisor?,"Yes. If an external supervisor from industry is appointed, a FICT Perak academic staff will be co-supervisor."
How often should I meet my supervisor?,"You must meet your supervisor at least once per fortnight (every two weeks). Weekly meetings are encouraged."
What happens if I miss 4 consecutive weeks of meetings?,"If a student cannot meet their supervisor for 4 consecutive weeks, the supervisor must contact the student and report the situation to the FYP committee."
What is the word count for Project II report?,"The Project II report should comprise between 20,000 to 40,000 words."
What is the page limit for Project I proposal?,"The Project I proposal should not exceed 30 pages."
What font should I use in my report?,"Use Times New Roman, 12 points, with 1.5 line spacing for all content including figure captions, table captions, chapter headings, subheadings, and citations."
What paper size should I use?,"Use A4 size, 80g paper."
What are the margin requirements?,"Left margin: 1.5 inches (except front cover: 1.2 inches). Right margin: 1 inch. Top and bottom: 1 inch. Header/Footer: 0.5/0.4 inch."
What language should the report be written in?,"British English. The report should be written in third person and past tense. Do not use 'I' or 'you'."
How should I number my pages?,"Title, Abstract, Table of Contents and Listings use small Roman numerals (i, ii, iii). Chapters and Bibliography use Arabic numbers (1, 2, 3). Appendices use A-1, A-2 format."
What is the binding format?,"Reports must be comb-bound."
What citation style should I use?,"Harvard Style Referencing. Citations include author surname and year. Example: (Smith 1997)."
What is plagiarism and what happens if I plagiarise?,"Plagiarism is copying others' work without proper citation. It is a serious offence that results in a failing grade and possible disciplinary action. All reports must be checked with Turnitin."
What is Turnitin?,"Turnitin is a plagiarism detection tool. Students must ensure their report has been checked by Turnitin before submission."
What are the two categories of FYP projects?,"1) Academic Research Projects - investigating a research question. 2) Application Development Projects - designing and building a hardware/software prototype."
What is an Academic Research Project?,"A project that investigates a research question, develops a model or algorithm, and must contain a research contribution from the student."
What is an Application Development Project?,"A project involving design and construction of a non-trivial hardware or software prototype, following established engineering methods."
What chapters are required in Project I report?,"Chapter 1: Introduction, Chapter 2: Literature Review, Chapter 3: Proposed Method/Approach, Chapter 4: Conclusion."
What chapters are required in Project II report?,"Chapter 1: Introduction, Chapter 2: Literature Review, Chapter 3: System Design, Chapter 4-5: Methodology and Implementation, Chapter 6: Conclusion."
What should the abstract contain?,"The abstract should be maximum 1 page (200-300 words) describing the field of study, problem definition, methodology, research process, results and conclusion."
What is the poster size for FYP?,"A1 paper size. Use contrasting fonts for title, text and figure legends. Save softcopy in JPEG, TIFF, BMP or EPS format."
What is the viva format?,"Oral presentation: 15-20 minutes. Question and Answer session: 10 minutes. Product demonstration: up to 30 minutes."
Who assesses the viva?,"The supervisor and moderator both attend and assess the oral presentation and product demonstration."
What is a moderator?,"A moderator is a staff member who ensures uniform assessment standards are applied across all projects. They evaluate the oral presentation and product demonstration."
What softcopy do I need to submit for Project II?,"Two sets of softcopy in CD/DVD containing: the full report in PDF format, complete executable program, source codes, and attachments in one zipped file."
What is the file naming format for Project II softcopy?,"Course Code - Year of Submission - Student ID - Copy No. Example: BA-2010-1007640-1"
When is the Project I proposal due?,"Project I proposal is due at Week 7 of the semester."
When is the Project II full report due?,"The comb-bound full report is due at Week 12 of the semester."
When are oral presentations held?,"Oral presentations are held at Week 13 and Week 14 of the semester."
When must results be submitted?,"Results must be submitted by Week 14 (supervisor and moderator) and softcopy by Week 15."
What is the UCCD2502 course?,"UCCD2502 is Introduction to Inventive Problem Solving and Proposal Writing (IIPSPW). It equips students with skills in planning, writing and presenting project proposals using TRIZ methods."
What is TRIZ?,"TRIZ is a systematic approach for inventive problem solving. Students learn to identify technical contradictions and use the contradiction matrix to find innovative solutions."
Can I change my project title after Project I?,"Yes, you can change the title to better describe the project objectives. However, you cannot completely change the project type (e.g. from Android app to web development)."
Can I change my supervisor after IIPSPW?,"Yes, subject to agreement of both the IIPSPW supervisor and the new supervisor."
What is the Overachiever problem?,"Selecting a topic too ambitious for the allotted time. You only have 12-13 weeks for coding, debugging and testing. Discuss scope with your supervisor and implement in stages."
What is the Do It Tomorrow problem?,"Procrastinating on project work. You must stick to your implementation schedule as 13 weeks goes by quickly."
What is the Sleeping Member problem?,"A team member who does not contribute their share of work. Talk to them first, then escalate to your supervisor if unresolved."
What is the Poop Out At The End problem?,"Neglecting the final report and presentation after completing the implementation. The grade also depends on written reports and oral presentations."
What should Chapter 1 Introduction contain?,"Problem statement and motivation, project scope, project objectives, impact and significance, and background information."
What should the Literature Review contain?,"Review of current practice and prior arts, fact finding, data collection, and critical remarks comparing previous works with your proposed solution."
What should Chapter 3 System Design contain?,"Detailed description of how the project is developed. Include top-down system design diagrams, flowcharts, block diagrams, and explanation of each component."
What should the Conclusion chapter contain?,"Summary of what has been achieved, relation to objectives, problems encountered, novelties and contributions, and future work suggestions."
What are the FYP objectives?,"To bring together academic knowledge and skills, demonstrate technical ability, highlight interdisciplinary knowledge, and provide an avenue to showcase the project to potential employers."
Where can I find FYP project topics?,"Visit the faculty website at http://www.utar.edu.my/fict-pk/ under Student Portal then Final Year Project for the list of available topics."
Can I propose my own FYP topic?,"Yes. Prepare a draft proposal and discuss with a relevant lecturer to ensure it meets the required level and standard."
What is the weekly log?,"A biweekly report submitted to your supervisor documenting work done, work to be done, problems encountered, and self-evaluation of progress."
What must the FYP Registration Form contain?,"Student name, ID, contact, email, course, year of study, area of study, proposed project title, and signatures of both student and supervisor."
What is the Declaration of Originality?,"A declaration stating the report is your own work, not submitted for any other degree, and free from plagiarism. Must be signed and included in Project II report."
What is the Report Status Declaration Form?,"A form declaring that you allow UTAR Library to keep your FYP report and make copies for academic purposes."
How should tables and figures be numbered?,"Sequentially with respect to chapter. Example: Table 2-2 is the second table in Chapter 2. Figure captions should appear immediately below the figure."
What is the header and footer format?,"Header (left aligned): chapter number and title. Footer (right aligned): page number. Footer also includes degree programme and faculty name on the left."
What degrees does FICT Perak offer?,"FICT Perak offers Bachelor degrees in Computer Science, Information Technology, Information Systems Engineering, Software Engineering, and related ICT programmes."
What is the contact for FICT Perak?,"Visit the FICT Perak campus at Universiti Tunku Abdul Rahman, Kampar, Perak. Website: www.utar.edu.my/fict-pk"
What industrial training opportunities are available?,"FICT Perak provides industrial training opportunities. Visit the faculty website under Industrial Training section for job listings and requirements."
What scholarships are available at UTAR?,"UTAR offers postgraduate scholarships. Visit www.utar.edu.my for the latest scholarship listings and requirements."
What is the FYP committee?,"The FYP committee oversees the Final Year Project process, assigns supervisors to students without projects, and handles disputes in mark allocation."
What happens if supervisor and moderator marks differ by more than 10%?,"Any disagreement of more than 10% in marks allocation can be brought to the FYP Committee for further discussion."
What should I include in the appendices?,"Specifications, data sheets, equipment drawings, data used for analysis, survey sheets, charts, data tables, and lengthy mathematical derivations."
What is the List of Symbols section?,"A list of all symbols used in the report with their corresponding meanings."
What is the List of Abbreviations section?,"A list of all abbreviations used in the report with their corresponding full meanings. Example: CMOS - Complementary Metal Oxide Semiconductor."
How many subsection levels are allowed?,"Subsections are limited to 3 levels only."
What is the page count for each chapter in UCCD2502 report?,"Each section should be between 10 to 15 pages."
What should the Project Scope section describe?,"What you are going to deliver at the end of the project, such as software, hardware, improvement plan, research survey, model, or simulation result."
What are common mistakes in writing project objectives?,"Stating learning objectives instead of project objectives (e.g. learning programming languages), or treating project timelines as objectives."
What is the Impact and Significance section?,"A section describing how the project benefits readers or users, why the problem is worth solving, and why your project is important or desirable."
