Question,Answer
How to register for FYP1?,Visit the FICT website and download the registration form...
Where is the FICT FGO?,"It is located at Block N, Level 1, Kampar Campus."
When is the bar list out?,"Bar list will be out on Week 12 for long semester, and week 6 for short semester."
When is the final exam? ,Final exam date can be checked in UTAR portal. It  is different for each course.
How to register for the next semester?,Register course through UTAR portal -> Course Registration.
"How do I apply for my UTAR Scholar ID card, and is it compulsory?","Yes, all new students are required to have the UTAR Scholar ID Card, which also functions as a Public Bank debit card. You can submit your photo through the UTAR Orientation Website or Admission Status Enquiry webpage ."
I need to drop a course after the add/drop period. What are the rules for course withdrawal?,"You can apply for a course withdrawal from Week 3 to Friday of Week 12 (long trimester) / Week 5 (short trimester). No refund is given, and you must still be registered for at least one course"
How many credit hours can I register for?,"For students with normal academic status, the maximum is 20 credit hours for a long trimester and 10 credit hours for a short trimester. If you are on probation, the maximum is 12 and 6 credit hours, respectively"
I missed my final exam due to an emergency. Can I apply for a replacement exam?,"Yes, you can apply for a replacement exam by filling in the ""Special Consideration of Assessment"" form and attaching relevant supporting documents (e.g., a medical certificate). This must be submitted to your Faculty General Office (FGO) within three (3) working days from the date of the missed exam"
How do I appeal my exam results?,"You can submit an appeal online within three (3) working days from the date the result is released. The application is done through the UTAR Portal under the ""Examination"" menu"
"How do I apply for a vehicle sticker, and can I transfer it to another car?","Foundation and Degree students can apply via the DSA Kampar website. Vehicle stickers are NOT transferable. If you need to use a different car temporarily (e.g., your car is being repaired), you must get a temporary pass letter from the Department of Student Affairs (DSA)"
How do I change my class timetable or request a schedule change?,"Students cannot simply request a change for convenience. You must write a formal letter to your Head of Department (HOD), attaching a list with the names and signatures of all students in the unit, a letter of agreement from your lecturer/tutor, and proof from the Faculty General Office (FGO) that a new venue is available"
"I am on the exam ""Bar List."" How do I appeal to sit for my paper?","You must appeal immediately by contacting your Faculty General Office (FGO). You will likely need to complete a ""Barred Interview Form,"" write an appeal letter, and get feedback/recommendations from the respective course lecturers before the specified deadline"
"What is the deadline for ""Course Withdrawal"" and what are the rules?",You can apply for withdrawal from Week 3 until the Friday of Week 12 (long trimester) or Week 5 (short trimester). No refund is given for withdrawn courses. You also must ensure you are still registered for at least one (1) course in that trimester
I want to switch my degree programme (Programme Transfer). When can I do this?,You can submit the Programme Transfer application form to your FGO specifically during Week 1 or Week 2 of a new trimester . You are only allowed to start studying the new course upon official notification from the University
Where can I find information about Industrial Training?,FICT provides information on the FICT website under sections or can visit the FICT Industrial Training Websites for more info. https://fict2.southeastasia.cloudapp.azure.com/ 
How do I find job opportunities for Industrial Training?,"Check the ""Jobs / Industrial Training Opportunity"" section on the FICT Student Portal for available placements"
Where do I register for FICT courses each trimester?,Course registration is done through the UTAR Course Registration System at https://unitreg.utar.edu.my/portal/courseRegStu/login.jsp
Where can I find the FICT timetable?,"The FICT timetable is available on the FICT Student Portal under the ""Timetable"" section"
What is the course I need to take for next semester?,Check on UTAR Portal -> Course Structure to check for the info and credit hour.
Are there resources for student undergradutes FYP?,"Yes. Undergradutes students can access through the FICT FYP to get the info related IIPSPW, FYP1 and FYP2."
What types of scholarship is provided?,https://dsfa.utar.edu.my/Types-of-Scholarships.php
What is the minimum number of credit hours I must register for each trimester?,"You must register for at least one (1) course per trimester to maintain active student status. However, for scholarship holders or students on student visa, minimum credit requirements may differ. Please check with your FGO or DSFA for specific requirements."
Can I register for courses outside my programme or faculty?,"Yes, but you must obtain approval from your Head of Department (HOD) and the offering faculty. You may need to fill in a course exemption or cross-faculty registration form."
What happens if I fail a course? Do I need to retake it?,"Yes, if it is a core or prerequisite course, you must retake it. You may retake it during the next offering trimester. Please consult your academic advisor or FGO for a retake plan."
How do I check my course registration status?,"You can check your registered courses via the UTAR Portal under ""Course Registration"" or ""My Courses."""
